"Estimate" "Low" "High" "year" "period" "fit"
15356.3691420065 2804.56314333897 84083.7097163071 1968 "past" "OMbase.MP4000"
19605.6552684164 4808.69218100262 79934.7731224168 1969 "past" "OMbase.MP4000"
19468.3596953999 6338.21077552118 59798.741735329 1970 "past" "OMbase.MP4000"
21647.2293977509 9896.05852654493 47352.4423225554 1971 "past" "OMbase.MP4000"
27814.0836314288 25458.4866423568 30387.6369056828 1972 "past" "OMbase.MP4000"
24612.1762799667 22816.3970563333 26549.2934638428 1973 "past" "OMbase.MP4000"
21226.6052558854 11009.1824890039 40926.6329392955 1974 "past" "OMbase.MP4000"
18748.9716931909 8159.47525852973 43081.6845954156 1975 "past" "OMbase.MP4000"
19773.6363190818 7836.64734743913 49893.3633152549 1976 "past" "OMbase.MP4000"
27052.4276101315 10177.0560467451 71910.170902072 1977 "past" "OMbase.MP4000"
35640.7861096812 13057.9386914436 97279.1850637498 1978 "past" "OMbase.MP4000"
37431.4535205964 13811.4415985895 101445.870270896 1979 "past" "OMbase.MP4000"
31670.5096468745 12265.5246899782 81775.6440629331 1980 "past" "OMbase.MP4000"
26550.0753039843 11388.7091342749 61895.2060620976 1981 "past" "OMbase.MP4000"
24677.2041023837 12778.5869458341 47655.0658450724 1982 "past" "OMbase.MP4000"
24138.9749158444 21220.2623591453 27459.1378808586 1983 "past" "OMbase.MP4000"
23366.5475863316 12286.4141646437 44438.9663890298 1984 "past" "OMbase.MP4000"
38702.8203107486 17369.6173175893 86237.2654859378 1985 "past" "OMbase.MP4000"
42148.7383242581 18678.861648123 95108.3730793254 1986 "past" "OMbase.MP4000"
44758.5068014704 22689.2087931683 88294.1291324567 1987 "past" "OMbase.MP4000"
41839.3949263043 35734.961570871 48986.6195693966 1988 "past" "OMbase.MP4000"
39307.9955187345 35881.1309325987 43062.1463577416 1989 "past" "OMbase.MP4000"
43639.9683278978 23669.9336403845 80458.4780250777 1990 "past" "OMbase.MP4000"
45997.8309342835 25002.7772703046 84622.6172310799 1991 "past" "OMbase.MP4000"
44786.9459469075 35749.5872277369 56108.914334399 1992 "past" "OMbase.MP4000"
43980.2332098498 37141.2478823216 52078.511721558 1993 "past" "OMbase.MP4000"
41681.5020508516 36035.4124599892 48212.2305425021 1994 "past" "OMbase.MP4000"
35728.0833077969 31349.3479168453 40718.4206904337 1995 "past" "OMbase.MP4000"
32786.4607390281 17649.5701449255 60905.279786709 1996 "past" "OMbase.MP4000"
29864.0673036482 13895.8841836765 64181.7752744729 1997 "past" "OMbase.MP4000"
26541.6265455341 11832.9774388836 59533.4473779803 1998 "past" "OMbase.MP4000"
28675.0334604771 12292.4033050978 66891.5201975581 1999 "past" "OMbase.MP4000"
27267.7125411161 12409.043976089 59918.2458098821 2000 "past" "OMbase.MP4000"
41615.8091672697 20580.7978777032 84150.0695423908 2001 "past" "OMbase.MP4000"
61327.4924370269 53669.0568971771 70078.7669106855 2002 "past" "OMbase.MP4000"
73260.9399727616 40940.3988394316 131097.045408439 2003 "past" "OMbase.MP4000"
75461.8211987298 66841.1057177794 85194.3784812997 2004 "past" "OMbase.MP4000"
72960.4571296031 67417.7616126825 78958.8407746729 2005 "past" "OMbase.MP4000"
75284.4598079688 69391.5301267976 81677.8341423097 2006 "past" "OMbase.MP4000"
66785.5715597125 61249.6675806984 72821.8249132679 2007 "past" "OMbase.MP4000"
53686.9155905495 31821.3616219893 90577.0450638122 2008 "past" "OMbase.MP4000"
53432.4226961494 49923.4312982753 57188.0522018248 2009 "past" "OMbase.MP4000"
46153.9489018401 43519.2699666489 48948.1326517227 2010 "past" "OMbase.MP4000"
22505.1929555756 12017.3711104676 42145.965645225 2011 "past" "OMbase.MP4000"
15615.1832994133 7659.66744902674 31833.4903044986 2012 "past" "OMbase.MP4000"
15273.5394126997 7073.34362932343 32980.3015965738 2013 "past" "OMbase.MP4000"
14094.6492382222 6486.93877890367 30624.4815805231 2014 "past" "OMbase.MP4000"
11411.4924377102 5263.62629820995 24740.0085564972 2015 "past" "OMbase.MP4000"
11254.9493697229 5129.17647085871 24696.7297839567 2016 "past" "OMbase.MP4000"
16143.6724944981 6939.61105799992 37555.1539461533 2017 "past" "OMbase.MP4000"
15555.1357340496 6350.58327411238 38100.7912597645 2018 "past" "OMbase.MP4000"
15875 6452 38444 2018 "Future" "OMbase.MP4000"
10446 5085 15315 2019 "Future" "OMbase.MP4000"
9151 2389 15305 2020 "Future" "OMbase.MP4000"
8178 1228 15126 2021 "Future" "OMbase.MP4000"
7699 697 15107 2022 "Future" "OMbase.MP4000"
7481 286 15566 2023 "Future" "OMbase.MP4000"
7352 107 15649 2024 "Future" "OMbase.MP4000"
7084 16 15545 2025 "Future" "OMbase.MP4000"
6021 2 15738 2026 "Future" "OMbase.MP4000"
4704 0 15620 2027 "Future" "OMbase.MP4000"
3888 0 15833 2028 "Future" "OMbase.MP4000"
3275 0 15247 2029 "Future" "OMbase.MP4000"
15356.3691420065 2804.56314333897 84083.7097163071 1968 "past" "OMnoIE.MPmoratorium"
19605.6552684164 4808.69218100262 79934.7731224168 1969 "past" "OMnoIE.MPmoratorium"
19468.3596953999 6338.21077552118 59798.741735329 1970 "past" "OMnoIE.MPmoratorium"
21647.2293977509 9896.05852654493 47352.4423225554 1971 "past" "OMnoIE.MPmoratorium"
27814.0836314288 25458.4866423568 30387.6369056828 1972 "past" "OMnoIE.MPmoratorium"
24612.1762799667 22816.3970563333 26549.2934638428 1973 "past" "OMnoIE.MPmoratorium"
21226.6052558854 11009.1824890039 40926.6329392955 1974 "past" "OMnoIE.MPmoratorium"
18748.9716931909 8159.47525852973 43081.6845954156 1975 "past" "OMnoIE.MPmoratorium"
19773.6363190818 7836.64734743913 49893.3633152549 1976 "past" "OMnoIE.MPmoratorium"
27052.4276101315 10177.0560467451 71910.170902072 1977 "past" "OMnoIE.MPmoratorium"
35640.7861096812 13057.9386914436 97279.1850637498 1978 "past" "OMnoIE.MPmoratorium"
37431.4535205964 13811.4415985895 101445.870270896 1979 "past" "OMnoIE.MPmoratorium"
31670.5096468745 12265.5246899782 81775.6440629331 1980 "past" "OMnoIE.MPmoratorium"
26550.0753039843 11388.7091342749 61895.2060620976 1981 "past" "OMnoIE.MPmoratorium"
24677.2041023837 12778.5869458341 47655.0658450724 1982 "past" "OMnoIE.MPmoratorium"
24138.9749158444 21220.2623591453 27459.1378808586 1983 "past" "OMnoIE.MPmoratorium"
23366.5475863316 12286.4141646437 44438.9663890298 1984 "past" "OMnoIE.MPmoratorium"
38702.8203107486 17369.6173175893 86237.2654859378 1985 "past" "OMnoIE.MPmoratorium"
42148.7383242581 18678.861648123 95108.3730793254 1986 "past" "OMnoIE.MPmoratorium"
44758.5068014704 22689.2087931683 88294.1291324567 1987 "past" "OMnoIE.MPmoratorium"
41839.3949263043 35734.961570871 48986.6195693966 1988 "past" "OMnoIE.MPmoratorium"
39307.9955187345 35881.1309325987 43062.1463577416 1989 "past" "OMnoIE.MPmoratorium"
43639.9683278978 23669.9336403845 80458.4780250777 1990 "past" "OMnoIE.MPmoratorium"
45997.8309342835 25002.7772703046 84622.6172310799 1991 "past" "OMnoIE.MPmoratorium"
44786.9459469075 35749.5872277369 56108.914334399 1992 "past" "OMnoIE.MPmoratorium"
43980.2332098498 37141.2478823216 52078.511721558 1993 "past" "OMnoIE.MPmoratorium"
41681.5020508516 36035.4124599892 48212.2305425021 1994 "past" "OMnoIE.MPmoratorium"
35728.0833077969 31349.3479168453 40718.4206904337 1995 "past" "OMnoIE.MPmoratorium"
32786.4607390281 17649.5701449255 60905.279786709 1996 "past" "OMnoIE.MPmoratorium"
29864.0673036482 13895.8841836765 64181.7752744729 1997 "past" "OMnoIE.MPmoratorium"
26541.6265455341 11832.9774388836 59533.4473779803 1998 "past" "OMnoIE.MPmoratorium"
28675.0334604771 12292.4033050978 66891.5201975581 1999 "past" "OMnoIE.MPmoratorium"
27267.7125411161 12409.043976089 59918.2458098821 2000 "past" "OMnoIE.MPmoratorium"
41615.8091672697 20580.7978777032 84150.0695423908 2001 "past" "OMnoIE.MPmoratorium"
61327.4924370269 53669.0568971771 70078.7669106855 2002 "past" "OMnoIE.MPmoratorium"
73260.9399727616 40940.3988394316 131097.045408439 2003 "past" "OMnoIE.MPmoratorium"
75461.8211987298 66841.1057177794 85194.3784812997 2004 "past" "OMnoIE.MPmoratorium"
72960.4571296031 67417.7616126825 78958.8407746729 2005 "past" "OMnoIE.MPmoratorium"
75284.4598079688 69391.5301267976 81677.8341423097 2006 "past" "OMnoIE.MPmoratorium"
66785.5715597125 61249.6675806984 72821.8249132679 2007 "past" "OMnoIE.MPmoratorium"
53686.9155905495 31821.3616219893 90577.0450638122 2008 "past" "OMnoIE.MPmoratorium"
53432.4226961494 49923.4312982753 57188.0522018248 2009 "past" "OMnoIE.MPmoratorium"
46153.9489018401 43519.2699666489 48948.1326517227 2010 "past" "OMnoIE.MPmoratorium"
22505.1929555756 12017.3711104676 42145.965645225 2011 "past" "OMnoIE.MPmoratorium"
15615.1832994133 7659.66744902674 31833.4903044986 2012 "past" "OMnoIE.MPmoratorium"
15273.5394126997 7073.34362932343 32980.3015965738 2013 "past" "OMnoIE.MPmoratorium"
14094.6492382222 6486.93877890367 30624.4815805231 2014 "past" "OMnoIE.MPmoratorium"
11411.4924377102 5263.62629820995 24740.0085564972 2015 "past" "OMnoIE.MPmoratorium"
11254.9493697229 5129.17647085871 24696.7297839567 2016 "past" "OMnoIE.MPmoratorium"
16143.6724944981 6939.61105799992 37555.1539461533 2017 "past" "OMnoIE.MPmoratorium"
15555.1357340496 6350.58327411238 38100.7912597645 2018 "past" "OMnoIE.MPmoratorium"
15875 6452 38444 2018 "Future" "OMnoIE.MPmoratorium"
1 0 2 2019 "Future" "OMnoIE.MPmoratorium"
1 0 1 2020 "Future" "OMnoIE.MPmoratorium"
1 1 1 2021 "Future" "OMnoIE.MPmoratorium"
1 1 1 2022 "Future" "OMnoIE.MPmoratorium"
1 1 1 2023 "Future" "OMnoIE.MPmoratorium"
115 56 278 2024 "Future" "OMnoIE.MPmoratorium"
4000 4000 4000 2025 "Future" "OMnoIE.MPmoratorium"
6000 6000 6000 2026 "Future" "OMnoIE.MPmoratorium"
8000 7276 8000 2027 "Future" "OMnoIE.MPmoratorium"
10000 4096 10000 2028 "Future" "OMnoIE.MPmoratorium"
12000 2236 12000 2029 "Future" "OMnoIE.MPmoratorium"
